Date,Startup_Name,Industry,SubVertical,City,Investors,InvestmentType,Amount_USD,sector,bif_indus
2020-01-09,BYJUs,"E Tech","E learning",Bangalore,"Tiger Global Management","Private Funding",200000000,Education,"E Tech"
2020-01-13,Shuttl,Transportation,"App based shuttle service",Gurugram,"Susquehanna Growth Equity","Series C",8048390,"Transportation and Logistics",Transportation
2020-01-09,Mamaearth,"E commerce","Retailer of baby and toddler products",Bangalore,"Sequoia Capital India","Series B",18358900,E-Commerce,"E commerce"
2020-01-02,wealthbucket,FinTech,"Online Investment",Delhi,"Vinod Khatumal","Series A",3000000,Finance,FinTech
2020-01-02,Fashor,"Fashion and Apparel","Embroiled Clothes For Women",Mumbai,"Sprout Venture Partners","Seed Funding",1800000,Fashion,"Fashion and Apparel"
2020-01-13,Pando,Logistics,"Open market, freight management platform",Chennai,"Chiratae Ventures","Series A",9000000,"Transportation and Logistics",Logistics
2020-01-10,Zomato,Hospitality,"Online Food Delivery Platform",Gurugram,"Ant Financial","Private Funding",150000000,Hospitality,Hospitality
2019-12-12,Ecozen,Technology,Agritech,Pune,"Sathguru Catalyzer Advisors","Series A",6000000,Technology,Technology
2019-12-06,CarDekho,"E Commerce",Automobile,Gurugram,"Ping An Global Voyager Fund","Series D",70000000,E-Commerce,"E Commerce"
2019-12-03,DhruvaSpace,Aerospace,"Satellite Communication",Bangalore,"Mumbai Angels, Ravikanth Reddy","Seed Funding",50000000,Other,Aerospace
2019-12-13,Rivigo,Technology,"Logistics Services and Solutions",Gurugram,"SAIF Partners, Spring Canter Investment Ltd.","Series F",20000000,Technology,Technology
2019-12-17,Healthians,"B2B focused foodtech startup","Food Solutions For Corporate",Bangalore,"Paytm, NPTK, Sabre Partners and Neoplux","Series C",12000000,"Food and Beverages","B2B focused foodtech startup"
2019-12-16,Licious,"E Commerce","Online Meat And Seafood Ordering Startup",Bangalore,"Vertex Growth Fund","Series E",30000000,E-Commerce,"E Commerce"
2019-12-16,InCred,Finance,"Non Banking Financial Company",Mumbai,,Debt,5900000,Finance,Finance
2019-12-14,Trell,Video,"Experience Discovery Platform",Bangalore,"Ruizheng Investment","Seed Funding",2000000,Other,Video
2019-12-11,ReinGames,Gaming,"Real money based gaming startup",Noida,"Manipal Education and Medical Group (MEMG)","Seed Funding",50000000,"Online Gaming",Gaming
2019-12-20,Lenskart,"E Commerce","Online Eyewear Shopping Portal",Faridabad,"SoftBank Vision Fund","Series G",231000000,E-Commerce,"E Commerce"
2019-11-13,Freshworks,Software,"Business and customer engagement tools","San Francisco","Sequoia, CapitalG, Accel","Series H",150000000,Technology,Software
2019-11-14,Misters,"Health and wellness","Men's Health and Wellness brand",Gurugram,"Sauce.vc, Rainforest Ventures","Series B",486000,Healthcare,"Health and wellness"
2019-11-13,SunstoneEduversityPvtLtd,Education,Elearning,Gurugram,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg","Seed Funding",1500000,Education,Education
2019-11-18,Healthians,"Health and Wellness","Healthcare services",Gurugram,"DG Daiwa Ventures, DG Incubation","Series B",12000000,Healthcare,"Health and Wellness"
2019-11-15,Ninjacart,"B2B Marketing",Agritech,Bangalore,"Trifecta Capital Advisors",Debt,26000000,"Advertisement and Marketing","B2B Marketing"
2019-11-20,AyeFinance,FinTech,"Financial Services To MSMEs",Gurugram,FinTech,Debt,17411300,Finance,FinTech
2019-11-12,SuperGaming,"Video Games","Social gaming platform",Pune,"Dream Incubator","Seed Funding",1300000,"Online Gaming","Video Games"
2019-11-20,Clumio,SaaS,"Recovery software","San Jose,","Altimeter Capital, Sutter Hill Ventures","Series C",135000000,Technology,SaaS
2019-11-11,eBikeGo,"Last Mile Transportation","Electric bike rental",Amritsar,"Startup Buddy","Seed Funding",300000,"Transportation and Logistics","Last Mile Transportation"
2019-11-19,DigitalMallAsia,"E Commerce","Virtual e commerce platform",Delhi,"Amour Infrastructure","Seed Funding",220000000,E-Commerce,"E Commerce"
2019-11-18,Medikabazaar,Healthcare,"B2B platform for medical supplies",Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing","Series B",15800000,Healthcare,Healthcare
